,0,1,2,3,4,5,6,7,8,9
Samd5,-0.083986074,0.08386345,0.0004753871,0.07688802,0.08427499,0.008056626,-0.06928642,0.05109687,0.09187354,0.0013143132
Egfr,-0.05417891,-0.031752054,0.00022759066,-0.048917003,-0.014424095,0.004805153,-0.008851339,-0.028915096,0.04032254,0.06537082
1700086L19Rik,-0.01953443,0.003245436,-0.0017388329,0.013999963,0.0075979684,-0.0056102974,-0.018108323,-0.015682975,0.020180972,0.023346428
Trpc6,-0.024844097,-0.016187795,0.016898388,0.019668687,0.012398054,-0.011044746,-0.030867787,-0.036767222,0.02987169,-0.00075000897
Aif1,-0.045763586,0.06706547,0.022917464,-0.06496585,-0.06382614,0.0017540315,-0.019157678,-0.006045372,-0.054778803,0.094548576
Sez6,-0.101859175,-0.021509236,0.20776555,-0.08916086,0.01655119,0.14080143,0.21400118,-0.08153732,0.06664669,0.069400705
Sytl5,0.050627172,-0.022373622,0.06653051,0.03522539,-0.06926409,-0.010809102,-0.0031627947,0.00062813243,0.045675676,-0.011194964
Pcdh8,-0.051431745,-0.008406741,0.023049125,0.056682684,-0.01769274,-0.037959293,0.00041459475,0.02327751,-0.021658944,0.03189204
Adra1a,-0.029452534,0.013706444,0.0031089317,0.039534297,0.03930815,-0.008688869,-0.010201595,0.02204094,0.016091878,0.038022194
Pcp4,-0.0053748866,0.012765676,-0.00543591,0.0008068502,-0.0045688115,-0.010334487,0.0006952278,-0.03021788,0.018471468,0.02252076
